time,active_time,evaluations,iterations,nodes,step_size
18528,0,3727,3,35937,27
18555,0,3732,3,35937,27
18582,0,3737,3,35937,27
18609,0,3742,3,35937,27
18636,0,3747,3,35937,27
18663,0,3752,3,35937,27
18690,0,3757,3,35937,27
18717,0,3762,3,35937,27
18744,0,3767,3,35937,27
18771,0,3772,3,35937,27
18798,0,3777,3,35937,27
18825,0,3782,3,35937,27
18852,0,3787,3,35937,27
18879,0,3792,3,35937,27
18906,0,3797,3,35937,27
18933,0,3802,3,35937,27
18960,0,3807,3,35937,27
18987,0,3812,3,35937,27
19014,0,3817,3,35937,27
19041,0,3822,3,35937,27
19068,0,3827,3,35937,27
19095,0,3832,3,35937,27
19122,0,3837,3,35937,27
19149,0,3842,3,35937,27
19176,0,3847,3,35937,27
19203,0,3852,3,35937,27
19230,0,3857,3,35937,27
19257,0,3862,3,35937,27
19284,0,3867,3,35937,27
19311,0,3872,3,35937,27
19338,0,3877,3,35937,27
19365,0,3882,3,35937,27
19392,0,3887,3,35937,27
19419,0,3892,3,35937,27
19446,0,3897,3,35937,27
19473,0,3902,3,35937,27
19500,0,3907,3,35937,27
19527,0,3912,3,35937,27
19554,0,3917,3,35937,27
19581,0,3922,3,35937,27
19608,0,3927,3,35937,27
19635,0,3932,3,35937,27
19662,0,3937,3,35937,27
19689,0,3942,3,35937,27
19716,0,3947,3,35937,27
19743,0,3952,3,35937,27
19770,0,3957,3,35937,27
19797,0,3962,3,35937,27
19824,0,3967,3,35937,27
19851,0,3972,3,35937,27
19878,0,3977,3,35937,27
19905,0,3982,3,35937,27
19932,0,3987,3,35937,27
19959,0,3992,3,35937,27
19986,0,3997,3,35937,27
20013,0,4002,3,35937,27
20040,0,4007,3,35937,27
20067,0,4012,3,35937,27
20094,0,4017,3,35937,27
20121,0,4022,3,35937,27
20148,0,4027,3,35937,27
20175,0,4032,3,35937,27
20202,0,4037,3,35937,27
20229,0,4042,3,35937,27
20256,0,4047,3,35937,27
20283,0,4052,3,35937,27
20310,0,4057,3,35937,27
20337,0,4062,3,35937,27
20364,0,4067,3,35937,27
20391,0,4072,3,35937,27
